Title,Impact factor,Publisher,Categories
"Advances and Trends in Engineering Sciences and Technologies III- Proceedings of the 3rd International Conference on Engineering Sciences and Technologies	 ESaT 2018",,,
"Advances and Trends in Geodesy	 Cartography and Geoinformatics - Proceedings of the 10th International Scientific and Professional Conference on Geodesy	 Cartography and Geoinformatics	 2017",,,
Advances in Accounting,,,
Advances in Accounting Behavioral Research,,,
Advances in Accounting Education: Teaching and Curriculum Innovations,,,
Advances in Acoustics and Vibration,,,
Advances in Agronomy,,,
Advances in Aircraft and Spacecraft Science,,,
Advances in Alzheimer's Disease,,,
Advances in Anatomic Pathology,,,
Advances in Anesthesia,,,
Advances in Animal and Veterinary Sciences,,,
Advances in Applied Ceramics,,,
Advances in Applied Clifford Algebras,,,
Advances in Applied Mathematics,,,
Advances in Applied Mathematics and Mechanics,,,
Advances in Applied Mechanics,,,
Advances in Applied Microbiology,,,
Advances in Applied Probability,,,
Advances in Archaeological Practice,,,
Advances in Astronomy,,,
Advances in Atmospheric Sciences,,,
"Advances in Atomic	 Molecular and Optical Physics",,,
Advances in Austrian Economics,,,
Advances in Autism,,,
Advances in Bioinformatics,,,
Advances in Biological Regulation,,,
Advances in Biomembranes and Lipid Self-Assembly,,,
Advances in Biomolecular Medicine - Proceedings of the 4th BIBMC (Bandung International Biomolecular Medicine Conference) 2016 and the 2nd ACMM (ASEAN Congress on Medical Biotechnology and Molecular ,,,
Advances in Botanical Research,,,
Advances in Building Energy Research,,,
Advances in Business and Management Forecasting,,,
Advances in Business Marketing and Purchasing,,,
Advances in Business Related Scientific Research Journal,,,
Advances in Calculus of Variations,,,
Advances in Cancer Research,,,
Advances in Cell Biology,,,
Advances in Cement Research,,,
Advances in Chemical Engineering,,,
Advances in Child Development and Behavior,,,
Advances in Chronic Kidney Disease,,,
Advances in Civil Engineering,,,
Advances in Civil Engineering Materials,,,
Advances in Classification Research Online,,,
Advances in Climate Change Research,,,
Advances in Clinical and Experimental Medicine,,,
Advances in Clinical Chemistry,,,
Advances in Cognitive Psychology,,,
Advances in Colloid and Interface Science,,,
Advances in Complex Systems,,,
Advances in Computational Design,,,
Advances in Computational Mathematics,,,
Advances in Computer Vision and Pattern Recognition,,,
Advances in Computers,,,
Advances in Concrete Construction,,,
Advances in Condensed Matter Physics,,,
"Advances in Culture	 Tourism and Hospitality Research",,,
Advances in Data Analysis and Classification,,,
Advances in Database Technology - EDBT,,,
Advances in Decision Sciences,,,
Advances in dental research,,,
Advances in Developing Human Resources,,,
Advances in Difference Equations,,,
Advances in Differential Equations,,,
Advances in Dual Diagnosis,,,
Advances in Dynamical Systems and Applications,,,
Advances in E-Business Research Series,,,
Advances in Ecological Research,,,
Advances in Econometrics,,,
"Advances in Education in Diverse Communities: Research	 Policy and Praxis",,,
Advances in Educational Administration,,,
Advances in Electrical and Computer Engineering,,,
Advances in Electrical and Electronic Engineering,,,
"Advances in Energy and Environment Research - Proceedings of the International Conference on Advances in Energy and Environment Research	 ICAEER 2016",,,
Advances in Engineering Education,,,
"Advances in Engineering Materials	 Structures and Systems: Innovations	 Mechanics and Applications - Proceedings of the 7th International Conference on Structural Engineering	 Mechanics and Computati",,,
Advances in Engineering Software,,,
"Advances in Entrepreneurship	 Firm Emergence and Growth",,,
Advances in Environmental Accounting and Management,,,
Advances in Environmental Technology,,,
Advances in Experimental Medicine and Biology,,,
Advances in Financial Economics,,,
Advances in Fuzzy Systems,,,
Advances in Gender Research,,,
Advances in Genetics,,,
Advances in Geographic Information Science,,,
Advances in Geometry,,,
Advances in Geosciences,,,
Advances in Gerontology,,,
"Advances in gerontology = Uspekhi gerontologii / Rossiiskaia akademiia nauk	 Gerontologicheskoe obshchestvo",,,
Advances in Global Leadership,,,
Advances in Group Processes,,,
Advances in Group Theory and Applications,,,
Advances in Health Care Management,,,
Advances in Health Economics and Health Services Research,,,
Advances in Health Sciences Education,,,
Advances in Heat Transfer,,,
Advances in Hematology,,,
Advances in Heterocyclic Chemistry,,,
Advances in High Energy Physics,,,
Advances in Horticultural Science,,,
Advances in Hospitality and Leisure,,,
Advances in Hospitality and Tourism Research,,,
Advances in Human-Computer Interaction,,,
Advances in Imaging and Electron Physics,,,
Advances in Industrial Control,,,
Advances in Inorganic Chemistry,,,
Advances in Integrative Medicine,,,
Advances in Intelligent Systems and Computing (discontinued),,,
Advances in International Management,,,
Advances in Librarianship,,,
Advances in Library Administration and Organization,,,
Advances in Life Course Research,,,
Advances in Management Accounting,,,
Advances in Manufacturing,,,
Advances in Marine Biology,,,
"Advances in Marine Navigation and Safety of Sea Transportation - 13th International Conference on Marine Navigation and Safety of Sea Transportation	 TransNav 2019",,,
"Advances in Mass Data Analysis of Images and Signals with Applications in Medicine	 r/g/b Biotechnology	 Food Industries and Dietetics	 Biometry and Security	 Agriculture	 Drug Discover	 and System B",,,
"Advances in Mass Data Analysis of Images and Signals with Applications in Medicine	 r/g/b Biotechnology	 Food Industries	 Dietetics	 Biometry and Security	 Agriculture	 Drug Discover	 and System Biol",,,
"Advances in Materials and Pavement Performance Prediction - Proceedings of the International AM3P Conference	 2018",,,
Advances in Materials and Processing Technologies,,,
Advances in Materials Research (South Korea),,,
Advances in Materials Science and Engineering,,,
Advances in Mathematical Physics,,,
Advances in Mathematics,,,
Advances in Mathematics of Communications,,,
Advances in Mathematics: Scientific Journal (discontinued),,,
Advances in Mechanical Engineering,,,
Advances in Mechanics,,,
Advances in Medical Sciences,,,
Advances in Medical Sociology,,,
Advances in Mental Health,,,
Advances in Mental Health and Intellectual Disabilities,,,
Advances in Mergers and Acquisitions,,,
Advances in Meteorology,,,
Advances in Microbial Physiology,,,
Advances in Military Technology,,,
Advances in Mind-Body Medicine,,,
Advances in Modal Logic,,,
Advances in Modelling and Analysis B,,,
Advances in Multimedia,,,
Advances in Nano Research,,,
Advances in Natural Sciences: Nanoscience and Nanotechnology,,,
Advances in Neonatal Care,,,
Advances in Neural Information Processing Systems,,,
Advances in Neuroimmune Biology,,,
Advances in Nonlinear Analysis,,,
Advances in Nonlinear Variational Inequalities,,,
Advances in Nursing Science,,,
Advances in Nutrition,,,
Advances in Oceanography and Limnology,,,
Advances in Operations Research,,,
Advances in Operator Theory,,,
Advances in Ophthalmology and Optometry,,,
Advances in Optical Technologies,,,
Advances in Optics and Photonics,,,
Advances in OptoElectronics,,,
Advances in Organic Synthesis,,,
Advances in Orthopedics,,,
Advances in Oto-Rhino-Laryngology,,,
Advances in Parallel Computing,,,
Advances in Parasitology,,,
Advances in Pediatrics,,,
Advances in peritoneal dialysis. Conference on Peritoneal Dialysis,,,
Advances in Pharmacological Sciences,,,
Advances in Physical Chemistry,,,
Advances in Physics,,,
Advances in Physics: X,,,
Advances in Polymer Science,,,
Advances in Polymer Technology,,,
"Advances in Powder Metallurgy and Particulate Materials - 2018: Proceedings of the 2018 International Conference on Powder Metallurgy and Particulate Material	 POWDERMET 2018",,,
Advances in Power Electronics,,,
Advances in Production Engineering And Management,,,
Advances in Protein Chemistry and Structural Biology,,,
Advances in Public Interest Accounting,,,
Advances in Public-Private Partnerships - Proceedings of the 2nd International Conference on Public-Private Partnerships,,,
Advances in Pure and Applied Mathematics,,,
Advances in Quantum Chemistry,,,
Advances in Race and Ethnicity in Education,,,
Advances in Radiation Oncology,,,
Advances in Radio Science,,,
"Advances in Renewable Energies Offshore - Proceedings of the 3rd International Conference on Renewable Energies Offshore	 RENEW 2018",,,
Advances in Research on Teaching,,,
Advances in Respiratory Medicine,,,
Advances in Rheumatology,,,
Advances in School Mental Health Promotion,,,
Advances in Science and Technology of Water Resources,,,
"Advances in Science	 Technology and Engineering Systems (discontinued)",,,
Advances in Skin and Wound Care,,,
Advances in Small Animal Medicine and Surgery,,,
Advances in Space Research,,,
Advances in Special Education,,,
"Advances in Statistical Climatology	 Meteorology and Oceanography",,,
Advances in Strategic Management,,,
Advances in Structural Engineering,,,
Advances in Surgery,,,
Advances in Sustainability and Environmental Justice,,,
Advances in Systems Science and Applications,,,
Advances in Taxation,,,
Advances in Technology Innovation,,,
Advances in the Astronautical Sciences,,,
Advances in the Economic Analysis of Participatory and Labor-Managed Firms,,,
Advances in the History of Rhetoric,,,
Advances in the Study of Behavior,,,
"Advances in the Study of Entrepreneurship	 Innovation	 and Economic Growth",,,
Advances in the Theory of Nonlinear Analysis and its Applications,,,
Advances in Theoretical and Mathematical Physics,,,
Advances in Therapy,,,
Advances in Traditional Medicine,,,
Advances in Transdisciplinary Engineering,,,
Advances in Transportation Studies,,,
Advances in Tribology,,,
Advances in Urology,,,
Advances in Virology,,,
Advances in Water Resources,,,
Advances in Wound Care,,,
Advancing Microelectronics,,,
Adverse Drug Reaction Bulletin,,,
Adverse Drug Reactions Journal,,,
Aegaeum,,,
Aegyptus,,,
AEI 2017: Resilience of the Integrated Building - Proceedings of the Architectural Engineering National Conference 2017,,,
AEI 2019: Integrated Building Solutions - The National Agenda - Proceedings of the Architectural Engineering National Conference 2019,,,
AEJ - Alexandria Engineering Journal,,,
AEM Education and Training,,,
Aeolian Research,,,
Aequationes Mathematicae,,,
Aerobiologia,,,
Aeronautical Journal,,,
Aerosol and Air Quality Research,,,
Aerosol Science and Engineering,,,
Aerosol Science and Technology,,,
Aerospace,,,
Aerospace America,,,
Aerospace medicine and human performance,,,
Aerospace Science and Technology,,,
AES 146th International Convention,,,
AES: Journal of the Audio Engineering Society,,,
AES-ATEMA International Conference Series - Advances and Trends in Engineering Materials and their Applications,,,
Aesthetic Medicine,,,
Aesthetic Plastic Surgery,,,
Aesthetic Surgery Journal,,,
Aestimum,,,
AEU - International Journal of Electronics and Communications,,,
Aevum - Rassegna di Scienze Storiche Linguistiche e Filologiche,,,
Affilia - Journal of Women and Social Work,,,
Afinidad,,,
Afkar,,,
Africa,,,
Africa Development/Afrique et Developpement,,,
Africa Education Review,,,
Africa Journal of Management,,,
Africa Journal of Nursing and Midwifery,,,
Africa Review,,,
Africa Spectrum,,,
Africa Today,,,
Africa Yearbook,,,
Africa-Europe Group for Interdisciplinary Studies,,,
African Affairs,,,
African American Review,,,
African and Asian Studies,,,
African and Black Diaspora,,,
African Archaeological Review,,,
African Arts,,,
African Development Review,,,
African Diaspora,,,
African Economic History,,,
African Entomology,,,
African Evaluation Journal,,,
African Finance Journal,,,
African Geographical Review,,,
African Health Sciences,,,
African Historical Review,,,
African Identities,,,
African Invertebrates,,,
African Journal Biomedical Research,,,
African Journal of Agricultural and Resource Economics,,,
African Journal of AIDS Research,,,
African Journal of Aquatic Science,,,
African Journal of Business and Economic Research,,,
African Journal of Disability,,,
African Journal of Drug and Alcohol Studies,,,
African Journal of Ecology,,,
African Journal of Economic and Management Studies,,,
African Journal of Emergency Medicine,,,
"African Journal of Food	 Agriculture	 Nutrition and Development",,,
African Journal of Herpetology,,,
"African Journal of Hospitality	 Tourism and Leisure",,,
African Journal of Infectious Diseases,,,
African Journal of International and Comparative Law,,,
African Journal of Laboratory Medicine,,,
African Journal of Legal Studies,,,
African Journal of Library Archives and Information Science,,,
African Journal of Marine Science,,,
African Journal of Paediatric Surgery,,,
African Journal of Primary Health Care and Family Medicine,,,
African Journal of Range and Forage Science,,,
African journal of reproductive health,,,
"African Journal of Research in Mathematics	 Science and Technology Education",,,
"African Journal of Science	 Technology	 Innovation and Development",,,
African Journal of Social Work,,,
African Journal of Urology,,,
African Journal of Wildlife Research,,,
African Journalism Studies,,,
African Renaissance,,,
African Review of Physics,,,
African Security,,,
African Security Review,,,
African Social Studies Series,,,
African Sources for African History,,,
African Studies,,,
African Studies Quarterly,,,
African Studies Review,,,
African Vision and Eye Health,,,
African Zoology,,,
Africana Linguistica,,,
Afrika Matematika,,,
Afrique Contemporaine,,,
Afro-Asian Journal of Finance and Accounting,,,
AFS FiltCon 2018 Conference and Expo,,,
AFT 2019 - Proceedings of the 1st ACM Conference on Advances in Financial Technologies,,,
AFTE Journal,,,
Afterall,,,
AGA 2018 - 19th Annual General Assembly (AGA) of the International Association of Maritime Universities (IAMU),,,
AgBioForum,,,
Age and Ageing,,,
Age of Human Rights Journal,,,
Ageing and Society,,,
Ageing International,,,
Ageing Research Reviews,,,
Agenda,,,
Ager,,,
"AGERE 2017 - Proceedings of the 7th ACM SIGPLAN International Workshop on Programming Based on Actors	 Agents	 and Decentralized Control	 co-located with SPLASH 2017",,,
"AGERE 2018 - Proceedings of the 8th ACM SIGPLAN International Workshop on Programming Based on Actors	 Agents	 and Decentralized Control	 co-located with SPLASH 2018",,,
"AGERE 2019 - Proceedings of the 9th ACM SIGPLAN International Workshop on Programming Based on Actors	 Agents	 and Decentralized Control	 co-located with SPLASH 2019",,,
Aggression and Violent Behavior,,,
Aggressive Behavior,,,
Aging,,,
Aging and Disease,,,
Aging and Mental Health,,,
Aging Cell,,,
Aging clinical and experimental research,,,
Aging Male,,,
Aging Medicine and Healthcare,,,
"Aging	 Neuropsychology	 and Cognition",,,
"AGMA 2019 Fall Technical Meeting	 FTM 2019",,,
Agora,,,
Agora - Estudos Classicos em Debate,,,
Agraarteadus,,,
Agrarforschung Schweiz,,,
Agrekon,,,
Agri Dergisi,,,
Agri Gene,,,
Agribusiness,,,
Agriculturae Conspectus Scientificus,,,
"Agricultural and Biological Sciences (miscellaneous) (Q4); Engineering (miscellaneous) (Q4)																																											",,,
Agricultural and Environmental Letters,,,
Agricultural and Food Economics,,,
Agricultural and Food Science,,,
Agricultural and Forest Entomology,,,
Agricultural and Forest Meteorology,,,
Agricultural and Resource Economics Review,,,
Agricultural Commodities,,,
Agricultural Economics (Czech Republic),,,
Agricultural Economics (United Kingdom),,,
Agricultural Economics Review,,,
Agricultural Engineering International: CIGR Journal,,,
Agricultural Finance Review,,,
Agricultural History,,,
Agricultural History Review,,,
Agricultural Research,,,
Agricultural Research in the Arid Areas,,,
Agricultural Systems,,,
Agricultural Water Management,,,
Agriculture,,,
Agriculture (Switzerland),,,
Agriculture and Food Security,,,
Agriculture and Forestry,,,
Agriculture and Human Values,,,
Agriculture and Natural Resources,,,
"Agriculture	 Ecosystems and Environment",,,
Agris On-line Papers in Economics and Informatics,,,
AgriScientia,,,
Agrivita,,,
Agroalimentaria,,,
Agrochimica,,,
Agrociencia,,,
Agroecology and Sustainable Food Systems,,,
Agroforestry Systems,,,
Agrokemia es Talajtan,,,
Agronomia Colombiana,,,
Agronomy,,,
Agronomy for Sustainable Development,,,
Agronomy Journal,,,
Agronomy Mesoamerican,,,
Agronomy Research,,,
Agypten und Levante,,,
AHS International Rotorcraft Handling Qualities Technical Meeting,,,
AHURI Final Report,,,
AI and Society,,,
AI Communications,,,
AI Magazine,,,
AI4Mobile 2019 - 2019 IEEE 1st International Workshop on Artificial Intelligence for Mobile,,,
"AI4TV 2019 - Proceedings of the 1st International Workshop on AI for Smart TV Content Production	 Access and Delivery	 co-located with MM 2019",,,
